
####GOD CLASS####
junit.tests.ProblemTester	[junit.tests.ProblemTester::data.submission.Introduction subintroduction, junit.tests.ProblemTester::data.submission.MainInformation submainInformation, junit.tests.ProblemTester::data.submission.Inputs subinputs, junit.tests.ProblemTester::data.submission.FitnessApp subfitnessApp, junit.tests.ProblemTester::data.submission.Optimization suboptimization, junit.tests.ProblemTester::data.submission.Feedback subfeedback, junit.tests.ProblemTester::data.submission.Faqs subfaqs, junit.tests.ProblemTester::submission():void, junit.tests.ProblemTester::submissionSolo():void]
junit.tests.ProblemTester	[junit.tests.ProblemTester::data.problem.ProblemIntroduction introduction, junit.tests.ProblemTester::data.problem.ProblemOptimization optimization, junit.tests.ProblemTester::data.problem.ProblemInputs inputs, junit.tests.ProblemTester::problemInputsSolo():void, junit.tests.ProblemTester::data.problem.ProblemFitnessApp fitnessApp, junit.tests.ProblemTester::fitnessAppSolo():void, junit.tests.ProblemTester::problem():void]
main.Engine	[main.Engine::java.util.concurrent.BlockingQueue<data.problem.Problem> problemQueue, main.Engine::addProblemToQueue(data.submission.Submission):void, main.Engine::getStatus():java.lang.String]


####LONG METHOD####
data.results.ResultsOptimizer	public static void optimize(java.lang.String, int) 	topResults	B7	0/12
data.results.ResultsOptimizer	public static void optimize(java.lang.String, int) 	topResults	B9	0/10
data.results.ResultsOptimizer	public static void optimize(java.lang.String, int) 	topResults	B10	0/6
data.results.ResultsOptimizer	public static void optimize(java.lang.String, int) 	topResults	B13	0/2
data.results.ResultsOptimizer	public static void optimize(java.lang.String, int) 	score	B3	0/6
data.results.ResultsOptimizer	public static void optimize(java.lang.String, int) 	score	B4	0/3
utilities.JSONResultsGenerator	private static void convertSolutionsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], java.lang.String[], int) 	solutionsList	B3	0/6
utilities.JSONResultsGenerator	private static void convertSolutionsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], java.lang.String[], int) 	solutionsList	B4	0/3
utilities.JSONResultsGenerator	private static void convertSolutionsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], java.lang.String[], int) 	solutionsList	B3	0/6
utilities.JSONResultsGenerator	private static void convertSolutionsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], java.lang.String[], int) 	solutionsList	B4	0/3
spring.controller.SpringController	public ResponseEntity<java.lang.String> sendResults(java.lang.String) 	jsonTxt	B1	0/5
data.results.ResultsOptimizer	public static void optimize(java.lang.String, int) 	values	B3	0/5
data.results.ResultsOptimizer	public static void optimize(java.lang.String, int) 	values	B4	0/2
utilities.JSONResultsGenerator	private static void convertResultsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], int) 	values	B3	0/5
utilities.JSONResultsGenerator	private static void convertResultsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], int) 	values	B4	0/2
utilities.JSONResultsGenerator	private static void convertSolutionsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], java.lang.String[], int) 	values	B3	0/5
utilities.JSONResultsGenerator	private static void convertSolutionsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], java.lang.String[], int) 	values	B4	0/2
junit.tests.ProblemTester	public void submission() 	fol	B1	0/4
junit.tests.ProblemTester	public void submission() 	subfeedback	B1	0/4
data.jmetal.MyProblemBinaryExternalViaJAR	public void evaluate(org.uma.jmetal.solution.BinarySolution) 	solutionString	B1	0/3
utilities.JSONResultsGenerator	private static void convertResultsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], int) 	varLabel	B9	0/3
utilities.JSONResultsGenerator	private static void convertResultsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], int) 	globalLabels	B15	0/3
utilities.JSONResultsGenerator	private static void convertResultsToJSON(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int, java.lang.String[], int) 	globalLabels	B16	0/2
