org.jfree.chart.annotations.XYShapeAnnotation	public void draw(java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, java.awt.geom.Rectangle2D, org.jfree.chart.axis.ValueAxis, org.jfree.chart.axis.ValueAxis, int, org.jfree.chart.plot.PlotRenderingInfo) 	s	B1	0/25
org.jfree.chart.annotations.XYBoxAnnotation	public void draw(java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, java.awt.geom.Rectangle2D, org.jfree.chart.axis.ValueAxis, org.jfree.chart.axis.ValueAxis, int, org.jfree.chart.plot.PlotRenderingInfo) 	box	B1	0/12
org.jfree.chart.axis.ValueAxis	protected org.jfree.chart.axis.AxisState drawTickMarksAndLabels(java.awt.Graphics2D, double, java.awt.geom.Rectangle2D, java.awt.geom.Rectangle2D, org.jfree.ui.RectangleEdge) 	mark	B14	0/12
org.jfree.chart.axis.ValueAxis	protected void drawAxisLine(java.awt.Graphics2D, double, java.awt.geom.Rectangle2D, org.jfree.ui.RectangleEdge) 	axisLine	B1	0/10
org.jfree.chart.ChartPanel	private void saveAsPDF(java.io.File) 	file	B3	0/10
org.jfree.chart.ChartPanel	private void saveAsPDF(java.io.File) 	file	B6	0/6
org.jfree.chart.ChartPanel	private void saveAsSVG(java.io.File) throws java.io.IOException	file	B3	0/10
org.jfree.chart.ChartPanel	private void saveAsSVG(java.io.File) throws java.io.IOException	file	B6	0/6
org.jfree.chart.axis.NumberTickUnitSource	public org.jfree.chart.axis.TickUnit getCeilingTickUnit(double) 	done	B3	0/10
org.jfree.chart.axis.NumberTickUnitSource	public org.jfree.chart.axis.TickUnit getCeilingTickUnit(double) 	done	B5	0/7
org.jfree.chart.axis.NumberTickUnitSource	public org.jfree.chart.axis.TickUnit getCeilingTickUnit(double) 	done	B6	0/5
